State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,
Maryland,70.2,69.0,66.8,69.2,70.3,69.8,71.9,72.2,74.8,77.3,77.6,77.3,77.4,80.3,81.0,83.2,78.2,78.5,74.7,71.4,70.1,65.4,60.8,60.1,62.5,60.5,58.6,52.8,59.5,,,,,,,
Massachusetts,83.9,82.6,84.5,81.6,81.7,79.0,79.7,85.9,83.9,81.4,82.5,82.4,83.3,84.7,83.0,84.6,76.6,79.9,76.7,70.3,71.8,68.0,61.7,65.6,63.8,65.6,64.0,64.0,63.1,,,,,,,
Michigan,181.3,179.8,178.7,178.8,186.6,189.5,194.9,192.2,191.4,199.5,194.6,190.4,189.7,186.6,189.0,191.2,179.9,182.0,175.7,164.7,165.4,160.2,153.4,162.2,162.1,162.3,152.2,153.6,162.3,,,,,,,
Minnesota,78.8,78.9,80.3,84.7,86.3,89.1,94.0,91.6,91.6,92.4,97.7,94.7,97.3,101.4,100.7,101.8,99.0,100.6,100.1,92.4,92.2,91.9,86.9,89.8,95.1,88.0,89.6,89.1,92.7,,,,,,,
Mississippi,48.7,48.5,48.5,50.7,50.5,51.9,54.8,55.7,56.7,61.7,61.3,70.0,62.6,64.3,65.8,64.1,66.1,68.2,64.7,60.6,65.5,60.6,62.4,60.7,64.0,65.2,69.0,68.3,69.5,,,,,,,
Missouri,102.7,103.0,102.3,100.8,108.3,115.6,121.9,125.6,129.8,130.3,125.6,130.3,131.5,138.5,139.1,142.1,140.2,139.2,135.9,130.3,134.4,135.0,127.2,132.9,132.5,123.1,118.3,123.8,123.9,,,,,,,
Montana,27.1,28.3,29.4,27.4,30.1,29.8,26.9,29.0,30.6,31.1,30.6,31.8,30.1,32.4,34.0,35.1,35.3,36.7,36.0,32.5,34.5,31.6,30.3,31.7,32.2,32.1,30.7,30.7,30.7,,,,,,,
Nebraska,33.1,33.9,32.8,36.1,36.1,38.6,39.8,41.1,43.1,41.9,41.8,43.1,42.6,43.7,43.5,43.9,44.5,44.8,46.8,47.5,50.1,52.5,50.8,53.8,52.5,51.0,48.8,48.3,52.8,,,,,,,
Nevada,30.8,32.7,33.7,34.1,36.4,35.5,38.2,38.1,40.8,41.4,45.5,44.8,41.6,43.8,48.0,50.1,41.6,41.7,40.9,39.5,37.6,33.9,34.6,36.5,37.3,35.3,36.7,36.6,37.9,,,,,,,
New Hampshire,14.8,14.4,14.5,15.0,15.1,15.1,15.4,16.6,16.7,16.8,17.5,17.0,17.7,21.0,22.0,21.3,19.4,19.2,18.8,17.1,16.6,16.3,14.6,14.3,15.0,15.2,13.8,13.5,14.2,,,,,,,
